tspan,Temperature
01-Jan-2020 01:00:00,291.171
01-Jan-2020 02:00:00,291.3411
01-Jan-2020 03:00:00,291.2789
01-Jan-2020 04:00:00,291.2733
01-Jan-2020 05:00:00,291.2798
01-Jan-2020 06:00:00,291.0693
01-Jan-2020 07:00:00,291.1256
01-Jan-2020 08:00:00,290.9624
01-Jan-2020 09:00:00,290.8962
01-Jan-2020 10:00:00,290.8524
01-Jan-2020 11:00:00,291.1224
01-Jan-2020 12:00:00,291.606
01-Jan-2020 13:00:00,291.8967
01-Jan-2020 14:00:00,291.8445
01-Jan-2020 15:00:00,291.959
01-Jan-2020 16:00:00,291.4604
01-Jan-2020 17:00:00,290.911
01-Jan-2020 18:00:00,290.2734
01-Jan-2020 19:00:00,289.739
01-Jan-2020 20:00:00,289.6596
01-Jan-2020 21:00:00,289.5509
01-Jan-2020 22:00:00,289.5058
01-Jan-2020 23:00:00,290.0325
02-Jan-2020 00:00:00,289.9957
02-Jan-2020 01:00:00,290.1613
02-Jan-2020 02:00:00,290.3044
02-Jan-2020 03:00:00,290.244
02-Jan-2020 04:00:00,290.3069
02-Jan-2020 05:00:00,290.3056
02-Jan-2020 06:00:00,290.1184
02-Jan-2020 07:00:00,290.0718
02-Jan-2020 08:00:00,289.8906
02-Jan-2020 09:00:00,289.9033
02-Jan-2020 10:00:00,290.1225
02-Jan-2020 11:00:00,290.6674
02-Jan-2020 12:00:00,291.4323
02-Jan-2020 13:00:00,291.9894
02-Jan-2020 14:00:00,292.3623
02-Jan-2020 15:00:00,292.42
02-Jan-2020 16:00:00,292.3621
02-Jan-2020 17:00:00,291.9864
02-Jan-2020 18:00:00,291.5096
02-Jan-2020 19:00:00,291.0773
02-Jan-2020 20:00:00,290.4838
02-Jan-2020 21:00:00,290.1155
02-Jan-2020 22:00:00,289.983
02-Jan-2020 23:00:00,290.0622
03-Jan-2020 00:00:00,290.1384
03-Jan-2020 01:00:00,290.2564
03-Jan-2020 02:00:00,290.3596
03-Jan-2020 03:00:00,290.4197
03-Jan-2020 04:00:00,290.3219
03-Jan-2020 05:00:00,290.2289
03-Jan-2020 06:00:00,289.9362
03-Jan-2020 07:00:00,289.8256
03-Jan-2020 08:00:00,289.68
03-Jan-2020 09:00:00,289.7654
03-Jan-2020 10:00:00,290.5005
03-Jan-2020 11:00:00,291.262
03-Jan-2020 12:00:00,292.1598
03-Jan-2020 13:00:00,292.8559
03-Jan-2020 14:00:00,293.1685
03-Jan-2020 15:00:00,293.1532
03-Jan-2020 16:00:00,292.7868
03-Jan-2020 17:00:00,292.4958
03-Jan-2020 18:00:00,291.4991
03-Jan-2020 19:00:00,290.5688
03-Jan-2020 20:00:00,290.0729
03-Jan-2020 21:00:00,289.5494
03-Jan-2020 22:00:00,289.2097
03-Jan-2020 23:00:00,288.8449
04-Jan-2020 00:00:00,288.6104
04-Jan-2020 01:00:00,288.1509
04-Jan-2020 02:00:00,288.0672
04-Jan-2020 03:00:00,287.9389
04-Jan-2020 04:00:00,287.4482
04-Jan-2020 05:00:00,287.3247
04-Jan-2020 06:00:00,286.846
04-Jan-2020 07:00:00,286.8654
04-Jan-2020 08:00:00,286.5516
04-Jan-2020 09:00:00,286.7116
04-Jan-2020 10:00:00,287.0313
04-Jan-2020 11:00:00,287.4052
04-Jan-2020 12:00:00,288.0412
04-Jan-2020 13:00:00,288.4783
04-Jan-2020 14:00:00,288.5772
04-Jan-2020 15:00:00,288.714
